,country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population
0,China,"81,285","3,287",,"74,051",6,67,"1,235","3,947",56
1,Italy,"80,589","8,215",,"10,361",712,"6,203","3,612","62,013","1,333"
2,USA,"79,082","1,143",,"1,864",116,"10,871","2,112","76,075",239
3,Spain,"56,197","4,145",,"7,015",498,"6,682","3,166","45,037","1,202"
4,Germany,"43,646",239,,"5,673",33,"6,323",23,"37,734",521
5,Iran,"29,406","2,234",,"10,457",157,"2,389","2,746","16,715",350
6,France,"29,155","1,696",,"4,948",365,"3,922","3,375","22,511",447
7,Switzerland,"11,712",191,,131,38,815,141,"11,390","1,353"
8,UK,"11,658",578,,135,115,"2,129",163,"10,945",172
9,S. Korea,"9,241",131,,"4,144",5,104,59,"4,966",180
10,Netherlands,"7,431",434,,3,78,"1,019",582,"6,994",434
11,Austria,"6,847",49,,112,18,"1,259",28,"6,686",760
12,Belgium,"6,235",220,,675,42,"1,298",605,"5,340",538
13,Canada,"3,897",37,,199,1,488,120,"3,661",103
14,Portugal,"3,544",60,,43,17,549,61,"3,441",348
15,Norway,"3,316",14,,6,0,232,70,"3,296",612
16,Sweden,"2,840",71,,16,9,314,176,"2,753",281
17,Australia,"2,806",13,,170,2,130,11,"2,623",110
18,Israel,"2,666",8,,68,3,297,39,"2,590",308
19,Brazil,"2,611",63,,6,4,57,18,"2,542",12
20,Turkey,"2,433",59,,26,0,0,136,"2,348",29
21,Malaysia,"2,031",23,,215,3,235,45,"1,793",63
22,Czechia,"1,925",9,,10,3,271,34,"1,906",180
23,Denmark,"1,877",41,,1,7,153,94,"1,835",324
24,Ireland,"1,564",9,,5,0,0,39,"1,550",317
25,Luxembourg,"1,453",9,,6,1,120,3,"1,438","2,321"
26,Japan,"1,399",47,,359,2,92,57,993,11
27,Ecuador,"1,382",34,,3,5,171,58,"1,345",78
28,Chile,"1,306",4,,22,1,164,7,"1,280",68
29,Poland,"1,221",16,,7,2,170,3,"1,198",32
30,Pakistan,"1,179",9,,21,1,116,5,"1,149",5
31,Thailand,"1,045",4,,88,0,111,4,953,15
32,Romania,"1,029",22,,94,5,123,29,913,53
33,Saudi Arabia,"1,012",3,,33,1,112,6,976,29
34,Finland,958,5,,10,2,78,24,943,173
35,South Africa,927,0,,12,0,218,2,915,16
36,Indonesia,893,78,,35,20,103,0,780,3
37,Greece,892,26,,36,4,71,53,830,86
38,Russia,840,3,,38,0,182,8,799,6
39,Iceland,802,2,,68,0,65,11,732,"2,350"
40,India,722,16,,45,4,65,0,661,0.5
41,Diamond Princess,712,10,,597,0,0,15,105,0
42,Philippines,707,45,,28,7,71,1,634,6
43,Singapore,683,2,,172,0,52,17,509,117
44,Peru,580,9,,14,0,100,14,557,18
45,Slovenia,562,6,,10,1,34,14,546,270
46,Panama,558,8,,2,0,0,20,548,129
47,Qatar,549,0,,43,0,12,6,506,191
48,Estonia,538,1,,8,0,134,6,529,406
49,Argentina,502,8,,63,0,0,0,431,11
50,Croatia,495,2,,22,1,53,14,471,121
51,Colombia,491,6,,8,2,21,0,477,10
52,Dominican Republic,488,10,,3,0,96,0,475,45
53,Mexico,475,6,,4,1,70,1,465,4
54,Bahrain,458,4,,204,0,39,1,250,269
55,Serbia,457,7,,15,3,73,21,435,52
56,Egypt,456,21,,95,0,0,0,340,4
57,Hong Kong,453,4,,110,0,42,5,339,60
58,Iraq,382,36,,105,7,36,0,241,9
59,Lebanon,368,6,,23,0,35,3,339,54
60,Algeria,367,25,,29,4,65,0,313,8
61,UAE,333,2,,52,0,0,2,279,34
62,Lithuania,299,4,,1,0,25,1,294,110
63,Armenia,290,1,,18,1,25,6,271,98
64,New Zealand,283,0,,27,0,0,0,256,59
65,Morocco,275,10,,8,4,50,1,257,7
66,Bulgaria,264,3,,8,0,22,8,253,38
67,Hungary,261,10,,28,0,35,6,223,27
68,Taiwan,252,2,,29,0,17,0,221,11
69,Latvia,244,0,,1,0,23,0,243,129
70,Costa Rica,231,2,,2,0,30,4,227,45
71,Slovakia,226,0,,2,0,10,2,224,41
72,Andorra,224,3,,1,2,36,6,220,"2,899"
73,Uruguay,217,0,,0,0,0,3,217,62
74,Jordan,212,0,,1,0,40,0,211,21
75,San Marino,208,21,,4,0,0,12,183,"6,130"
76,Kuwait,208,0,,49,0,13,7,159,49
77,North Macedonia,201,3,,3,0,24,1,195,96
78,Tunisia,200,6,,2,1,27,10,192,17
79,Bosnia and Herzegovina,189,3,,2,0,13,1,184,58
80,Moldova,177,1,,2,0,28,28,174,44
81,Albania,174,6,,17,1,28,3,151,60
82,Ukraine,162,5,,1,0,17,0,156,4
83,Vietnam,153,0,,20,0,5,3,133,2
84,Burkina Faso,152,4,,10,0,6,0,138,7
85,Cyprus,146,3,,4,0,14,3,139,121
86,Faeroe Islands,140,0,,47,0,8,0,93,"2,865"
87,Réunion,135,0,,1,0,24,0,134,151
88,Malta,134,0,,2,0,5,1,132,303
89,Ghana,132,4,,1,0,64,0,127,4
90,Azerbaijan,122,3,,15,1,29,6,104,12
91,Brunei,114,0,,5,0,5,1,109,261
92,Kazakhstan,111,1,,2,1,30,0,108,6
93,Oman,109,0,,23,0,10,0,86,21
94,Sri Lanka,106,0,,7,0,4,3,99,5
95,Venezuela,106,0,,15,0,0,2,91,4
96,Senegal,105,0,,9,0,6,0,96,6
97,Cambodia,96,0,,10,0,0,1,86,6
98,Afghanistan,94,2,,2,0,10,0,90,2
99,Belarus,86,0,,29,0,0,2,57,9
100,Palestine,84,1,,17,0,13,0,66,16
101,Mauritius,81,2,,0,0,33,1,79,64
102,Ivory Coast,80,0,,3,0,0,0,77,3
103,Georgia,79,0,,11,0,4,1,68,20
104,Cameroon,75,1,,2,0,0,0,72,3
105,Guadeloupe,73,1,,0,0,0,4,72,182
106,Montenegro,69,1,,0,0,16,1,68,110
107,Cuba,67,1,,1,0,10,2,65,6
108,Martinique,66,1,,0,0,0,7,65,176
109,Uzbekistan,65,0,,0,0,5,4,65,2
110,Trinidad and Tobago,61,1,,0,0,1,0,60,44
111,Honduras,52,1,,0,1,0,0,51,5
112,DRC,51,3,,0,1,3,0,48,0.6
113,Nigeria,51,1,,2,0,0,0,48,0.2
114,Liechtenstein,51,0,,0,0,0,0,51,"1,338"
115,Channel Islands,46,1,,0,1,0,0,45,265
116,Bangladesh,44,5,,11,0,5,1,28,0.3
117,Kyrgyzstan,44,0,,0,0,0,0,44,7
118,Paraguay,41,3,,0,0,4,1,38,6
119,Rwanda,41,0,,0,0,0,0,41,3
120,Bolivia,40,0,,0,0,8,0,40,3
121,Mayotte,36,0,,0,0,0,0,36,132
122,Kenya,31,1,,1,1,3,0,29,0.6
123,Macao,31,0,,10,0,0,0,21,48
124,Monaco,31,0,,1,0,0,0,30,790
125,French Guiana,28,0,,6,0,0,0,22,94
126,Jamaica,26,1,,2,0,0,0,23,9
127,Gibraltar,26,0,,5,0,0,0,21,772
128,French Polynesia,25,0,,0,0,0,0,25,89
129,Isle of Man,25,0,,0,0,2,0,25,294
130,Guatemala,24,1,,4,0,0,0,19,1
131,Madagascar,23,0,,0,0,4,0,23,0.8
132,Togo,23,0,,1,0,0,0,22,3
133,Aruba,19,0,,1,0,0,0,18,178
134,Barbados,18,0,,0,0,0,0,18,63
135,Zambia,16,0,,0,0,4,0,16,0.9
136,New Caledonia,14,0,,0,0,0,0,14,49
137,Uganda,14,0,,0,0,0,0,14,0.3
138,El Salvador,13,0,,0,0,4,0,13,2
139,Maldives,13,0,,8,0,0,0,5,24
140,Tanzania,13,0,,0,0,0,0,13,0.2
141,Ethiopia,12,0,,0,0,0,0,12,0.1
142,Djibouti,11,0,,0,0,0,0,11,11
143,Dominica,11,0,,0,0,0,0,11,153
144,Mongolia,11,0,,0,0,1,0,11,3
145,Saint Martin,11,0,,0,0,0,0,11,284
146,Equatorial Guinea,9,0,,0,0,0,0,9,6
147,Cayman Islands,8,1,,0,0,0,0,7,122
148,Haiti,8,0,,0,0,0,0,8,0.7
149,Namibia,8,0,,2,0,1,0,6,3
150,Suriname,8,0,,0,0,0,0,8,14
151,Gabon,7,1,,0,0,1,0,6,3
152,Niger,7,1,,0,0,0,0,6,0.3
153,Bermuda,7,0,,2,0,0,0,5,112
154,Mozambique,7,0,,0,0,2,0,7,0.2
155,Seychelles,7,0,,0,0,0,0,7,71
156,Curaçao,6,1,,2,0,0,0,3,37
157,Benin,6,0,,0,0,0,0,6,0.5
158,Greenland,6,0,,2,0,0,0,4,106
159,Laos,6,0,,0,0,3,0,6,0.8
160,Guyana,5,1,,0,0,0,0,4,6
161,Bahamas,5,0,,1,0,0,0,4,13
162,Fiji,5,0,,0,0,0,0,5,6
163,Syria,5,0,,0,0,0,0,5,0.3
164,Cabo Verde,4,1,,0,0,0,0,3,7
165,Congo,4,0,,0,0,0,0,4,0.7
166,Eritrea,4,0,,0,0,0,0,4,1
167,Guinea,4,0,,0,0,0,0,4,0.3
168,Vatican City,4,0,,0,0,0,0,4,"4,994"
169,Mali,4,0,,0,0,2,0,4,0.2
170,Eswatini,4,0,,0,0,0,0,4,3
171,Gambia,3,1,,0,0,0,0,2,1
172,Sudan,3,1,,0,0,0,0,2,0.07
173,Zimbabwe,3,1,,0,0,0,0,2,0.2
174,Nepal,3,0,,1,0,0,0,2,0.1
175,Angola,3,0,,0,0,0,0,3,0.09
176,Antigua and Barbuda,3,0,,0,0,0,0,3,31
177,CAR,3,0,,0,0,0,0,3,0.6
178,Chad,3,0,,0,0,0,0,3,0.2
179,Liberia,3,0,,0,0,0,0,3,0.6
180,Mauritania,3,0,,0,0,1,0,3,0.6
181,Myanmar,3,0,,0,0,0,0,3,0.06
182,St. Barth,3,0,,0,0,0,0,3,304
183,Saint Lucia,3,0,,0,0,0,0,3,16
184,Sint Maarten,3,0,,0,0,0,0,3,70
185,Belize,2,0,,0,0,0,0,2,5
186,Bhutan,2,0,,0,0,0,0,2,3
187,British Virgin Islands,2,0,,0,0,0,0,2,66
188,Guinea-Bissau,2,0,,0,0,0,0,2,1
189,Montserrat,2,0,,0,0,1,0,2,401
190,Nicaragua,2,0,,0,0,0,0,2,0.3
191,Saint Kitts and Nevis,2,0,,0,0,0,0,2,38
192,Somalia,2,0,,0,0,1,0,2,0.1
193,Turks and Caicos,2,0,,0,0,1,0,2,52
194,Grenada,1,0,,0,0,0,0,1,9
195,Libya,1,0,,0,0,0,0,1,0.1
196,Papua New Guinea,1,0,,0,0,0,0,1,0.1
197,St. Vincent Grenadines,1,0,,0,0,0,0,1,9
198,Timor-Leste,1,0,,0,0,0,0,1,0.8
